Configuration Convergence F E
0  T  -.15161840E+03  -.15161850E+03 
1  T  -.15244476E+03  -.15244486E+03 
2  T  -.15206783E+03  -.15206793E+03 
3  T  -.15216680E+03  -.15216689E+03 
4  T  -.15282525E+03  -.15282535E+03 
5  T  -.15227480E+03  -.15227489E+03 
6  T  -.15257990E+03  -.15258000E+03 
7  T  -.15256289E+03  -.15256298E+03 
8  T  -.15200883E+03  -.15200893E+03 
9  F  -0.944658010628E+02  -0.17874E+00 
10  T  -.15296583E+03  -.15296593E+03 
11  T  -.15259717E+03  -.15259727E+03 
12  F  -0.141941625262E+03  -0.97370E-07 
13  F     
14  F     
15  T  -.15222927E+03  -.15222936E+03 
16  T  -.15202267E+03  -.15202277E+03 
17  T  -.15162212E+03  -.15162222E+03 
18  T  -.15198673E+03  -.15198683E+03 
19  T  -.15259717E+03  -.15259726E+03 
20  T  -.15230230E+03  -.15230240E+03 
21  T  -.15265927E+03  -.15265937E+03 
22  T  -.15273693E+03  -.15273702E+03 
23  T  -.15143952E+03  -.15143915E+03 
24  T  -.15245637E+03  -.15245646E+03 
25  T  -.15251612E+03  -.15251622E+03 
26  T  -.15165168E+03  -.15165181E+03 
27  T  -.15301857E+03  -.15301866E+03 
28  T  -.15255327E+03  -.15255337E+03 
29  T  -.15254096E+03  -.15254106E+03 
30  T  -.15327321E+03  -.15327331E+03 
31  F  -0.147437036833E+03  -0.36142E-01 
32  F     
33  F     
34  F     
35  T  -.15161122E+03  -.15161131E+03 
36  F  -0.163495286825E+04  -0.64222E+03 
37  T  -.15201205E+03  -.15201215E+03 
38  T  -.15147288E+03  -.15147317E+03 
39  T  -.15275432E+03  -.15275442E+03 
40  T  -.15293500E+03  -.15293509E+03 
41  F  -0.219856509621E+03  -0.21460E+01 
42  T  -.15298234E+03  -.15298244E+03 
43  T  -.15151666E+03  -.15151697E+03 
44  T  -.15250126E+03  -.15250135E+03 
45  T  -.13794113E+03  -.13794123E+03 
46  T  -.15338743E+03  -.15338753E+03 
47  F  -.15159556E+03  -.15159594E+03 
48  T  -.15169238E+03  -.15169245E+03 
49  T  -.15285985E+03  -.15285995E+03 
50  T  -.92319933E+02  -.92320029E+02 
51  F  -0.147972191033E+03  -0.48245E-04 
52  T  -.15117922E+03  -.15117958E+03 
53  T  -.15336268E+03  -.15336278E+03 
54  F  -0.247042051039E+04  -0.14973E+02 
55  T  -.15176950E+03  -.15176971E+03 
56  T  -.15194432E+03  -.15194441E+03 
57  T  -.15127182E+03  -.15127197E+03 
58  T  -.15159539E+03  -.15159549E+03 
59  F     
60  F  -0.146826171580E+03  -0.38370E-04 
61  T  -.15132315E+03  -.15132251E+03 
62  T  -.15317108E+03  -.15317117E+03 
63  T  -.15205900E+03  -.15205910E+03 
